sf,bw,cr,freq,pwr,mod,wdt
sf12,125,4/5,915000000,20,lora,0
sf12,125,4/5,915000000,17,lora,0
sf12,125,4/5,915000000,16,lora,0
sf12,125,4/5,915000000,15,lora,0
sf12,125,4/5,915000000,14,lora,0
sf12,125,4/5,915000000,13,lora,0
sf12,125,4/5,915000000,12,lora,0
sf12,125,4/5,915000000,11,lora,0
sf12,125,4/5,915000000,10,lora,0
sf12,125,4/5,915000000,9,lora,0
sf12,125,4/5,915000000,8,lora,0
sf12,125,4/5,915000000,7,lora,0
sf12,125,4/5,915000000,6,lora,0
sf12,125,4/5,915000000,5,lora,0
sf12,125,4/5,915000000,4,lora,0
sf12,125,4/5,915000000,3,lora,0
sf12,125,4/5,915000000,2,lora,0
sf12,125,4/6,915000000,20,lora,0
sf12,125,4/6,915000000,17,lora,0
sf12,125,4/6,915000000,16,lora,0
sf12,125,4/6,915000000,15,lora,0
sf12,125,4/6,915000000,14,lora,0
sf12,125,4/6,915000000,13,lora,0
sf12,125,4/6,915000000,12,lora,0
sf12,125,4/6,915000000,11,lora,0
sf12,125,4/6,915000000,10,lora,0
sf12,125,4/6,915000000,9,lora,0
sf12,125,4/6,915000000,8,lora,0
sf12,125,4/6,915000000,7,lora,0
sf12,125,4/6,915000000,6,lora,0
sf12,125,4/6,915000000,5,lora,0
sf12,125,4/6,915000000,4,lora,0
sf12,125,4/6,915000000,3,lora,0
sf12,125,4/6,915000000,2,lora,0
sf12,125,4/7,915000000,20,lora,0
sf12,125,4/7,915000000,17,lora,0
sf12,125,4/7,915000000,16,lora,0
sf12,125,4/7,915000000,15,lora,0
sf12,125,4/7,915000000,14,lora,0
sf12,125,4/7,915000000,13,lora,0
sf12,125,4/7,915000000,12,lora,0
sf12,125,4/7,915000000,11,lora,0
sf12,125,4/7,915000000,10,lora,0
sf12,125,4/7,915000000,9,lora,0
sf12,125,4/7,915000000,8,lora,0
sf12,125,4/7,915000000,7,lora,0
sf12,125,4/7,915000000,6,lora,0
sf12,125,4/7,915000000,5,lora,0
sf12,125,4/7,915000000,4,lora,0
sf12,125,4/7,915000000,3,lora,0
sf12,125,4/7,915000000,2,lora,0
sf12,125,4/8,915000000,20,lora,0
sf12,125,4/8,915000000,17,lora,0
sf12,125,4/8,915000000,16,lora,0
sf12,125,4/8,915000000,15,lora,0
sf12,125,4/8,915000000,14,lora,0
sf12,125,4/8,915000000,13,lora,0
sf12,125,4/8,915000000,12,lora,0
sf12,125,4/8,915000000,11,lora,0
sf12,125,4/8,915000000,10,lora,0
sf12,125,4/8,915000000,9,lora,0
sf12,125,4/8,915000000,8,lora,0
sf12,125,4/8,915000000,7,lora,0
sf12,125,4/8,915000000,6,lora,0
sf12,125,4/8,915000000,5,lora,0
sf12,125,4/8,915000000,4,lora,0
sf12,125,4/8,915000000,3,lora,0
sf12,125,4/8,915000000,2,lora,0
sf12,250,4/5,915000000,20,lora,0
sf12,250,4/5,915000000,17,lora,0
sf12,250,4/5,915000000,16,lora,0
sf12,250,4/5,915000000,15,lora,0
sf12,250,4/5,915000000,14,lora,0
sf12,250,4/5,915000000,13,lora,0
sf12,250,4/5,915000000,12,lora,0
sf12,250,4/5,915000000,11,lora,0
sf12,250,4/5,915000000,10,lora,0
sf12,250,4/5,915000000,9,lora,0
sf12,250,4/5,915000000,8,lora,0
sf12,250,4/5,915000000,7,lora,0
sf12,250,4/5,915000000,6,lora,0
sf12,250,4/5,915000000,5,lora,0
sf12,250,4/5,915000000,4,lora,0
sf12,250,4/5,915000000,3,lora,0
sf12,250,4/5,915000000,2,lora,0
sf12,250,4/6,915000000,20,lora,0
sf12,250,4/6,915000000,17,lora,0
sf12,250,4/6,915000000,16,lora,0
sf12,250,4/6,915000000,15,lora,0
sf12,250,4/6,915000000,14,lora,0
sf12,250,4/6,915000000,13,lora,0
sf12,250,4/6,915000000,12,lora,0
sf12,250,4/6,915000000,11,lora,0
sf12,250,4/6,915000000,10,lora,0
