sf,bw,cr,freq,pwr,mod,wdt
sf7,125,4/5,915000000,20,lora,0
sf7,125,4/6,915000000,20,lora,0
sf7,125,4/7,915000000,20,lora,0
sf7,125,4/8,915000000,20,lora,0
sf7,250,4/5,915000000,20,lora,0
sf7,250,4/6,915000000,20,lora,0
sf7,250,4/7,915000000,20,lora,0
sf7,250,4/8,915000000,20,lora,0
sf7,500,4/5,915000000,20,lora,0
sf7,500,4/6,915000000,20,lora,0
sf7,500,4/7,915000000,20,lora,0
sf7,500,4/8,915000000,20,lora,0
sf8,125,4/5,915000000,20,lora,0
sf8,125,4/6,915000000,20,lora,0
sf8,125,4/7,915000000,20,lora,0
sf8,125,4/8,915000000,20,lora,0
sf8,250,4/5,915000000,20,lora,0
sf8,250,4/6,915000000,20,lora,0
sf8,250,4/7,915000000,20,lora,0
sf8,250,4/8,915000000,20,lora,0
sf8,500,4/5,915000000,20,lora,0
sf8,500,4/6,915000000,20,lora,0
sf8,500,4/7,915000000,20,lora,0
sf8,500,4/8,915000000,20,lora,0
sf9,125,4/5,915000000,20,lora,0
sf9,125,4/6,915000000,20,lora,0
sf9,125,4/7,915000000,20,lora,0
sf9,125,4/8,915000000,20,lora,0
sf9,250,4/5,915000000,20,lora,0
sf9,250,4/6,915000000,20,lora,0
sf9,250,4/7,915000000,20,lora,0
sf9,250,4/8,915000000,20,lora,0
sf9,500,4/5,915000000,20,lora,0
sf9,500,4/6,915000000,20,lora,0
sf9,500,4/7,915000000,20,lora,0
sf9,500,4/8,915000000,20,lora,0
sf10,125,4/5,915000000,20,lora,0
sf10,125,4/6,915000000,20,lora,0
sf10,125,4/7,915000000,20,lora,0
sf10,125,4/8,915000000,20,lora,0
sf10,250,4/5,915000000,20,lora,0
sf10,250,4/6,915000000,20,lora,0
sf10,250,4/7,915000000,20,lora,0
sf10,250,4/8,915000000,20,lora,0
sf10,500,4/5,915000000,20,lora,0
sf10,500,4/6,915000000,20,lora,0
sf10,500,4/7,915000000,20,lora,0
sf10,500,4/8,915000000,20,lora,0
sf11,125,4/5,915000000,20,lora,0
sf11,125,4/6,915000000,20,lora,0
sf11,125,4/7,915000000,20,lora,0
sf11,125,4/8,915000000,20,lora,0
sf11,250,4/5,915000000,20,lora,0
sf11,250,4/6,915000000,20,lora,0
sf11,250,4/7,915000000,20,lora,0
sf11,250,4/8,915000000,20,lora,0
sf11,500,4/5,915000000,20,lora,0
sf11,500,4/6,915000000,20,lora,0
sf11,500,4/7,915000000,20,lora,0
sf11,500,4/8,915000000,20,lora,0
sf12,125,4/5,915000000,20,lora,0
sf12,125,4/6,915000000,20,lora,0
sf12,125,4/7,915000000,20,lora,0
sf12,125,4/8,915000000,20,lora,0
sf12,250,4/5,915000000,20,lora,0
sf12,250,4/6,915000000,20,lora,0
sf12,250,4/7,915000000,20,lora,0
sf12,250,4/8,915000000,20,lora,0
sf12,500,4/5,915000000,20,lora,0
sf12,500,4/6,915000000,20,lora,0
sf12,500,4/7,915000000,20,lora,0
sf12,500,4/8,915000000,20,lora,0
