DEBUG:root:15:00:40.953 | Communications.py              | Line:43    | Class:SerialDevice    | Name:None                           -> INIT
DEBUG:root:15:00:40.973 | Communications.py              | Line:65    | Class:SerialDevice    | Name:None                           -> Serial init: Serial port opened
DEBUG:root:15:00:40.974 | Communications.py              | Line:210   | Class:SerialDevice    | Name:None                           -> Serial receiveLoopThread: Start
DEBUG:root:15:00:41.074 | Communications.py              | Line:228   | Class:SerialDevice    | Name:None                           -> Serial sendLoopThread: Start
DEBUG:root:15:01:05.644 | Communications.py              | Line:43    | Class:SerialDevice    | Name:None                           -> INIT
DEBUG:root:15:01:05.666 | Communications.py              | Line:65    | Class:SerialDevice    | Name:None                           -> Serial init: Serial port opened
DEBUG:root:15:01:05.666 | Communications.py              | Line:210   | Class:SerialDevice    | Name:None                           -> Serial receiveLoopThread: Start
DEBUG:root:15:01:05.767 | Communications.py              | Line:228   | Class:SerialDevice    | Name:None                           -> Serial sendLoopThread: Start
DEBUG:root:08:31:54.104 | Communications.py              | Line:43    | Class:SerialDevice    | Name:None                           -> INIT
DEBUG:root:08:31:54.117 | Communications.py              | Line:65    | Class:SerialDevice    | Name:None                           -> Serial init: Serial port opened
DEBUG:root:08:31:54.123 | Communications.py              | Line:210   | Class:SerialDevice    | Name:None                           -> Serial receiveLoopThread: Start
DEBUG:root:08:31:54.225 | Communications.py              | Line:228   | Class:SerialDevice    | Name:None                           -> Serial sendLoopThread: Start
DEBUG:root:08:32:17.345 | Communications.py              | Line:115   | Class:SerialDevice    | Name:None                           -> Serial send: b'mac pause\r\n'
DEBUG:root:08:32:17.451 | Communications.py              | Line:133   | Class:SerialDevice    | Name:None                           -> Serial receive: b'4294967245\r\n'
DEBUG:root:08:32:17.458 | Communications.py              | Line:115   | Class:SerialDevice    | Name:None                           -> Serial send: b'radio set mod lora\r\n'
DEBUG:root:08:32:17.564 | Communications.py              | Line:133   | Class:SerialDevice    | Name:None                           -> Serial receive: b'ok\r\n'
DEBUG:root:08:32:17.571 | Communications.py              | Line:115   | Class:SerialDevice    | Name:None                           -> Serial send: b'radio set freq 915000000\r\n'
DEBUG:root:08:32:17.677 | Communications.py              | Line:133   | Class:SerialDevice    | Name:None                           -> Serial receive: b'ok\r\n'
DEBUG:root:08:32:17.684 | Communications.py              | Line:115   | Class:SerialDevice    | Name:None                           -> Serial send: b'radio set sf sf7\r\n'
DEBUG:root:08:32:17.790 | Communications.py              | Line:133   | Class:SerialDevice    | Name:None                           -> Serial receive: b'ok\r\n'
DEBUG:root:08:32:17.797 | Communications.py              | Line:115   | Class:SerialDevice    | Name:None                           -> Serial send: b'radio set bw 125\r\n'
DEBUG:root:08:32:17.903 | Communications.py              | Line:133   | Class:SerialDevice    | Name:None                           -> Serial receive: b'ok\r\n'
DEBUG:root:08:32:17.909 | Communications.py              | Line:115   | Class:SerialDevice    | Name:None                           -> Serial send: b'radio set cr 4/6\r\n'
DEBUG:root:08:32:18.016 | Communications.py              | Line:133   | Class:SerialDevice    | Name:None                           -> Serial receive: b'ok\r\n'
DEBUG:root:08:32:18.022 | Communications.py              | Line:115   | Class:SerialDevice    | Name:None                           -> Serial send: b'radio set pwr 20\r\n'
DEBUG:root:08:32:18.129 | Communications.py              | Line:133   | Class:SerialDevice    | Name:None                           -> Serial receive: b'ok\r\n'
DEBUG:root:08:32:18.135 | Communications.py              | Line:115   | Class:SerialDevice    | Name:None                           -> Serial send: b'radio set wdt 0\r\n'
DEBUG:root:08:32:18.242 | Communications.py              | Line:133   | Class:SerialDevice    | Name:None                           -> Serial receive: b'ok\r\n'
DEBUG:root:08:32:18.248 | Communications.py              | Line:115   | Class:SerialDevice    | Name:None                           -> Serial send: b'radio rxstop\r\n'
DEBUG:root:08:32:18.355 | Communications.py              | Line:133   | Class:SerialDevice    | Name:None                           -> Serial receive: b'ok\r\n'
DEBUG:root:08:32:18.476 | Communications.py              | Line:115   | Class:SerialDevice    | Name:None                           -> Serial send: b'radio rxstop\r\n'
DEBUG:root:08:32:18.583 | Communications.py              | Line:133   | Class:SerialDevice    | Name:None                           -> Serial receive: b'ok\r\n'
DEBUG:root:08:32:18.692 | Communications.py              | Line:115   | Class:SerialDevice    | Name:None                           -> Serial send: b'radio rx 0\r\n'
DEBUG:root:08:32:18.799 | Communications.py              | Line:133   | Class:SerialDevice    | Name:None                           -> Serial receive: b'ok\r\n'
DEBUG:root:08:32:33.406 | Communications.py              | Line:115   | Class:SerialDevice    | Name:None                           -> Serial send: b'radio set cr 4/7\r\n'
DEBUG:root:08:32:33.512 | Communications.py              | Line:133   | Class:SerialDevice    | Name:None                           -> Serial receive: b'ok\r\n'
